SA2 Code,SA2 Name,Region (SA3),LGA Code,LGA Name,Total Businesses,Manufacturing Businesses,Healthcare Businesses,Tourism Businesses,Unemployment,Unemployment Rate (%),JobSeeker Payment,Labour Force,Value of building job(s),Number of dwellings approved,Resident Spend,Visitor Spend,House Price (Current),House Rent (P/W),Listing Visits per Property,Unit Price (Current),Unit Rent (P/W),Median Household Income,Total Population,Population Change 2023-24,Net overseas migration,Net internal migration,Natural increase in ERP,Median Age,% Under 20,% Over 69,% Born Overseas,% Language Other Than English,Population density 2024 (persons/km2),% Completed Year 12,% Bachelor Degree,% Indigenous,Total Indigenous,Homelessness,Age Pension,Pension Concession Card,Commonwealth Rent Assistance,Family Tax Benefit A,Youth Allowance (other),Parenting Payment Single,Health Care Card,Carer Allowance,Disability Support Pension,Airbnb Occupancy Rate,Airbnb ADR,Airbnb  Gross Revenue,Airbnb Active Listings,Index of Relative Socio-economic Advantage and Disadvantage,Index of Education and Occupation,Index of Relative Socio-economic Disadvantage ,Index of Economic Resources,"Assault Rate (per 1,000)","Theft Rate (per 1,000)","Intimidation, Stalking & Harassment Rate (per 1,000)","Malicious Damage to Property Rate (per 1,000)","Drug Offences Rate (per 1,000)"
117031638,Camperdown - Darlington,Sydney Inner City,17200,Sydney,,,,,,,,,,,,,,,,,,,9609.0,180.0,744.0,-606.0,42.0,,,,,,5617.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
120031676,Ashfield - North,Strathfield - Burwood - Ashfield,14170,Inner West,,,,,,,,,,,,,,,,,,,12420.0,338.0,647.0,-348.0,39.0,,,,,,7956.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
122031429,Freshwater - Brookvale,Warringah,15990,Northern Beaches,4391.0,236.0,231.0,148.0,462.0,3.1,290.0,14942.0,180108.288,90.0,,,,,,,,2251.0,23255.0,578.0,531.0,-155.0,202.0,36.0,,,30.4,15.12,3237.1,55.77,20.8,0.55,115.0,61.0,1050.0,1560.0,485.0,320.0,10.0,65.0,345.0,160.0,245.0,,,,,1141.362077,1126.3137909,1097.023905,1064.9074,,,,,
115041624,North Kellyville,Rouse Hill - McGraths Hill,17420,The Hills,,,,,,,,,,,,,,,,,,,21350.0,1099.0,212.0,681.0,206.0,,,,,,2667.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
111031228,Merewether - The Junction,Newcastle,15900,Newcastle,1833.0,25.0,347.0,82.0,170.0,1.9,310.0,9143.0,48659.86300000001,34.0,,,,,,,,1815.0,14808.0,69.0,159.0,-106.0,16.0,39.0,22.96,11.63,10.6,5.24,2043.5,50.97,20.31,1.53,208.0,33.0,970.0,1620.0,465.0,235.0,15.0,60.0,445.0,175.0,370.0,,,,,1101.839413,1108.2086031,1082.911006,1042.016954,,,,,
115031299,Bilpin - Colo - St Albans,Hawkesbury,13800,Hawkesbury,347.0,15.0,7.0,24.0,,,85.0,,6126.351,4.0,,,,,,,,1343.0,2807.0,-8.0,14.0,-30.0,8.0,47.0,,,12.52,3.5300000000000002,1.3,31.84,7.91,3.12,84.0,13.0,250.0,405.0,90.0,90.0,5.0,15.0,80.0,45.0,70.0,,,,,1014.023469,991.90073446,1036.976765,1071.372801,,,,,
122031424,Beacon Hill - Narraweena,Warringah,15990,Northern Beaches,1250.0,33.0,55.0,40.0,446.0,5.5,240.0,8060.0,31005.581000000006,30.0,,,,,,,,2031.0,14535.0,-62.0,227.0,-320.0,31.0,41.0,,,29.1,21.27,3348.6,45.21,13.49,0.86,119.0,41.0,1360.0,2045.0,745.0,345.0,15.0,70.0,315.0,225.0,390.0,,,,,1082.944793,1056.0534004,1050.537283,1080.879516,,,,,
111011213,Valentine - Eleebana,Lake Macquarie - East,14650,Lake Macquarie,894.0,22.0,127.0,18.0,92.0,1.4,130.0,6779.0,14472.59,10.0,,,,,,,,1821.0,12550.0,28.0,59.0,-5.0,-26.0,45.0,26.12,16.53,11.64,4.14,1258.2,40.13,14.36,1.32,158.0,18.0,1600.0,1980.0,200.0,255.0,15.0,45.0,270.0,235.0,165.0,,,,,1069.02654,1046.1965416,1084.072177,1089.356474,,,,,
122031427,Forestville - Killarney Heights,Warringah,15990,Northern Beaches,1275.0,31.0,111.0,39.0,246.0,3.5,140.0,7102.0,32672.296000000002,29.0,,,,,,,,2287.0,13425.0,48.0,198.0,-147.0,-3.0,42.0,,,32.08,23.69,1503.2,51.86,18.35,0.38,49.0,42.0,950.0,1290.0,330.0,200.0,5.0,30.0,260.0,135.0,190.0,,,,,1135.419955,1127.2836352,1095.431613,1117.675434,,,,,
122031695,Dee Why - North,Warringah,15990,Northern Beaches,,,,,,,,,,,,,,,,,,,18997.0,448.0,577.0,-346.0,217.0,,,,,,9126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
